reviewerID,graph_degree,graph_weighted_degree
AHJF4YJ2KZ150,1,3
A12752HRLFJZKW,4,13
AN2SCJ9PDVBIK,1755,7030
A19777EFL2WG1V,1,3
A2MEN74OQVUP2B,53,170
A9H2HZ5NOVPSM,167,515
A24F7ZWBB2FXCC,7,22
A3FHFDJZXEF7UB,2,7
A39CSB9PQNGUUR,3,9
A2YTKZ74EL72YV,9,27
A1DIWCFB56PKJG,2,6
A3JUQ2E799OC5B,1,3
A3VKMNFP3J4BRB,24,72
A3ARFQW9KHBOJI,1756,7087
AS6CJHDX5DX20,2,7
A1R1F7IOPSLMD,14,45
A2U4ODZJDKQCXC,1,3
A24Z0TLWP8FXGV,10,32
A1CID1IQT8Z1H7,1824,7560
AQ7BGREY7SUO2,2,6
A2OW053G3WDH1W,3,9
A22X5FW99378T1,3,9
A2LGQZ5V6BJ6VV,4,13
A36P367G4ZH6Z0,77,251
AABU584WKQ728,12,39
A1HJ1H7EIPFBRK,183,566
A3SGO99DAZLV88,4,13
A4KJGUPWAYMV2,3,9
A1EW0EDDWR7XPM,1,3
A1VVRA3P6G1TWH,2,6
A1FMIHVEQZKGUM,1,3
A2HYNN8YMC76KD,2,6
A2K3G2TSY1IIU6,2,6
A2WV9MAEV6I3R4,799,2399
A30IOJSJ5NQUNL,281,864
A1GJ2XY3XR52VR,1,3
A18X2ITJA1ALX7,9,28
A7DNERCNQB3QQ,463,1511
A18S0DYNP4ILET,4,13
A2R3XX6JB0X881,1755,7025
AGIFQISOUTQTG,40,127
A2R0CUIYGZHREE,1,3
A3MXM2XRND7DZQ,2,6
A8XVMUX2312NQ,8,24
A1IUYZ4WNT9IZD,2,6
A3VEF8XTN80ZI8,57,172
A2KMD1LKAC1101,1755,7026
A3110ISCEMT08A,2,6
AD5BPF77WIZ20,4,13
A3OD3X7Z2670QX,1,3
A1DHHN3QOPPQ44,1,3
A397LZKHZ3R5GZ,32,96
ACPPZCRBCC1AF,20,63
A36OSNJ4YJSGEP,21,66
A9UIA5O4PQ4PH,1,3
A24XLUTIMFYYQJ,10,31
A33J9T7O4EGP48,190,576
ANQH883NMV4R,5,15
A1Y1904S7EAGFT,1,3
A2RM9L2MM9EQVE,6,19
A11CWTL262NNNY,1755,7067
ASJ1ZARVUTIIN,13,40
A2WNP8ORJ21KPF,5,15
A2HDEN9SPBWC5I,2,6
A3PLSCU4OJMX1,9,28
A1CSJRACLWUCYN,127,390
A34OC8NCVFNMHM,197,620
A2TI5CNYJ7VI6L,1755,7020
A3QB1I9RPW6CQZ,827,2508
A1A0AQPEG6QV58,3,9
A3IXRCOW0RISAL,3,9
A2L80T3KY3KA00,2,6
A2UL6QSKQG9U68,8,24
A39E4UTWD78ZUN,3,9
AJWMH0LWU26X5,799,2411
A12GLBE0R1UE48,1,3
A2A349KXZQ2Z6,23,71
A1OV5INAL7YGMZ,198,599
A3GLJXVN26CBHX,2,6
A1JQ3IZ81XS8LO,29,89
A3KJK9UTM8RFNZ,2,6
A8FAMHJNLHBJU,11,35
A1VWHAGB0F89OK,8,24
A2NSOVBUTW7HB1,93,285
AEIY22PMTETY3,1,3
A1Y2INBOFFDSL9,9,27
AU3WTC0FDUPGD,539,1749
A61VFLXPI073P,1755,7091
A1CD1ZVPGOSO5,1,3
A38GBSK68WSVE7,2,6
AKSQKMLYZO6S9,3,11
AQN1FAMS3N9LW,15,49
ANAD0U4YXRXXI,8,25
AP2D5YU9VXLNI,96,291
A2AAS19L5VE69J,1,3
AD99CE67M8PPW,6,20
A1YPX6V2I4KDUN,105,319
A1RSZCXEHL07E0,1,3
A2TE0GI71UEAKZ,28,84
A1JA75L3ZJQXY7,3,9
A1M9V8CGLL0I8N,1,3
A1OT4MLORF8K2S,1,3
A1CES889B0OQ4A,3,10
A2PFX6WO88KTYB,2658,10507
A1X29ISLFR2ZD4,1,3
A15KTBMNGWQY5C,3,9
A2WNPQVLW6H09O,1760,7193
A3KAXQDCNXZ9ZV,4,14
A3QXBRMHPZPIIP,21,63
A3I0CBLOLL0SDN,3,9
A1M9TYS609358G,1,3
A3MBS72XUDTPGW,1,3
A2620EMOIT3XVR,1,3
A2JTFWX3DPB8E6,24,73
AJQX858JWAHDZ,1817,7566
A342SD2VYIW6NR,12,36
A6HVJUX0DWHJL,7,21
A1UN54A0DJRDUM,1778,7530
A36MNQFNHWXL4T,1,3
A1NT6IZPFTC5M1,1,3
A3BUE5YXUU7WBH,6,18
A90IF2MAS3UW5,1755,7032
A152RGCT3WKTV5,1,3
ATOLEOHLA8GX9,17,54
AUNS2Z8L2ZLJA,37,113
A1GQCRNVCQ3OKI,17,52
A9RW5S2SBJXBL,1,3
A1ZYSJS573OQ5P,2,7
A2ABJNX7OBLTMV,1,3
A3KZ3Y88P6CAMA,3,9
A31JRW1DW3SZ2K,1,3
A25Y6F4HBU0BWK,31,98
A3I72LRTFV2SSN,793,2380
A1P6TQ535XDXYD,1,3
A269G7RGAI4SDV,1756,7138
A3UTVHHM3R1GPM,831,2542
A3G45C4JHSUXCY,1,3
A1IQS0N1RY7EVX,809,2455
A11BW2AUCELSJ0,1,3
AUPLAQGNNR4YI,2,6
AP0DT4W1WS7W7,1,3
AQSO8FYPP4QZ4,238,730
A18ZBATVICBAUU,7,21
AYR5DN4LJZP25,1,3
AEDJYV5Z497C2,31,94
AVP0VPF8B2M12,1,3
A3ES5LNKDYWRD4,2,6
A225AIK7WT92OP,1755,7022
A3L9TCG0OFOP6E,841,2628
A14T1DVPQNU4W4,5,16
A1EAKRP6PWCOKG,13,39
A3SZ7EWK3H52GM,12,37
A258ABFLGS5L8X,32,96
A1641ARZ3KWLT4,63,189
A3NPETMZXGIG65,3,10
A2J57A0FL2YUMK,1755,7020
APQ6YWDMNCAS4,2,6
A16BMKANCQIO16,79,237
A1H5626CBYYPJX,23,70
A7ICKJSNYEV78,1755,7083
AP5N0XCFNR5HU,335,1041
A3FKYDH6MTTTKU,172,521
A1F2U2TYDY7ELH,1,4
A1FU5MC4PQVPKB,1,3
A1BQKMP3478PAC,17,53
A1XL4YLORJ5IBS,1757,7143
AJMCY5PLK3DC,4,12
AJ2YSOOV1B93,4,12
A3IMZ1G2GJEB94,4,12
A2TCCWY88APLX8,1,3
A39RL01WOC0Q0Q,62,198
A1DGII46AXL9AV,873,2750
A23D13HKTA95WX,23,70
ALBXTH0P0BNVW,2,7
A2KMUBI9W7KED3,1,3
ARF6T1O5G8CLX,1,3
A2924H1XEYVPW7,5,15
A3HRAF3F20OWBO,1,3
A3I7GA43S36M2G,1,3
AP1HYW434MZEG,1,3
A28QNGX4N5GVPT,1,3
A1AL1AMDCNAMUF,61,184
A38MIQMLM2F2TU,2,6
A242KU8108U89X,1,3
A26A6039SFIJCS,792,2379
AJAIO7P0JG2IJ,144,449
A30HBP51C7XRX0,14,44
A1TDR4NT5G28NI,2,7
A2VRIC842XSV33,1,3
AN3MMB0O1CW02,1,3
ANKD5KB76TZA6,9,28
AHYQZM2NLW3Q1,1,3
A2U9FWU4C6F81A,4,12
A3TDKEWS7EM3WB,130,397
AN4MRVQP0SWJR,1,3
AYKS6HX38WG4R,54,162
A1FWF4TNYKN36K,15,49
A3QFGYWLAKDMOS,1,3
A3F8DMTBE3EPKX,3,9
AWO1UV89L0RSB,1757,7058
A3ME4O8BR49TDT,11,33
A3JWYGBII9ZYGA,796,2401
AEQC7FY9TBESE,1755,7121
AQFY9QKO1X07K,10,30
A33Y23ZIH4KOOQ,3,9
AISC135JXTDBH,1,3
A25N3OHIAQQUKA,19,59
A13LC8PQQB1UAW,2,6
A15CHJ3P8NSM7Y,1,3
A2W5Y8XS3NQ67S,1,3
ASW7641BE1K03,1755,7020
AKD1S6FHXAQJB,5,16
A2SHHQWK75S560,795,2388
A19M7Q82O3DLZG,4,12
A2YFN23I2CAXXB,1755,7054
A3AVAS3388CQN2,977,3163
A3670PTPRMJ7SB,4,12
A2ZPDF7F3DXSNS,838,2564
A1531OPOZ52SYR,2,7
AIOCZU08DDG8,1,3
AQ2CYSO40OXUF,3,9
A1MTM0CA62TYSG,859,2651
A39DYXPOZ84IK4,26,78
A36DF5XIHTU447,801,2412
A39B1XKQ20DBA4,1756,7144
A6GXP9ESXIH7O,222,683
ALG0YK6C46XPS,795,2391
AOYOU3BXZVBRL,2,6
A1FOXJ8TMYVKRK,2279,9799
A2OYMIDSKQHSR6,2,6
A3OM2CVBLA5SER,3,10
A2UO0RIWW9RIHK,2,6
AVG4A78KCYX69,86,263
AC2ZDFL387WAG,1,4
A4FEUO6HMCL2U,12,36
A1Z9JXVRGPDEM1,1755,7020
A1SOBBOREUY7D3,16,53
AKLDKUON6YY0X,122,375
A30Z70CRZBPMTG,1,3
A24RCBRDXRXR0Y,820,2513
A1A4W1RI6VFH3T,14,43
A3EN8V624OPB1B,41,124
A29L17PU7FYO8N,4,12
A36ICUXNCW9GMV,2,6
A1WBQDP2ENOAV8,1,4
A3G88JLZZN7F9H,1755,7034
A3V3G3DFHITT77,1,3
ATG6XWGOXRZEM,4,12
A2A72LXCNYI198,1,3
A3GTUNDBLPC00I,2,6
A1B9TIERY43Q8H,41,128
A2AOGQWDLPDE7F,208,628
A2NCLP3ATEJ9P8,1755,7060
A37ATOXK9B36BK,31,97
A3PU16AMATOPWV,16,50
A2FYOW9ZYDZKFG,2,6
A3RQYKXVDM7L27,37,112
A3E3TS35KJHVL6,1,3
AF5AJ5V9T6LTS,1,3
A17XFDVVYHFI6I,2,6
APWH031AZQTZA,4,12
ASL8DOP31VVLA,33,102
A1K92FCJ14FMV2,1,3
A3BQSPZJHYT1UR,792,2380
AYLW3Q5LOGZ2S,1,3
A2DOYD3V55NB5G,11,34
A1WOEXR8EW2HIP,6,19
A2ENJ1642N9AC4,2,6
A1H896WJE0YHQX,807,2457
AFA2JHOJYIIEU,3,9
A1A0BE5ZA85X0N,2,6
A2N1EEI49MMTGI,2,6
A3OLWGXYCKZSGY,1756,7045
A1VQHH85U7PX0,7,21
A1RWS90FOPN1LQ,6,19
A25T0KVQS6BX42,1,3
A26FJT6CKD115,171,530
A1ZIV8NR05DBV4,2,6
A2P5BB480X172E,9,27
A2BRM1YYGA35GL,856,2639
A2Q4C1WNLE373Q,26,78
AY8WUJ0HSB2NI,1,3
A2AZTBXXLDTOD0,1,3
A3LCMQDYGEO5SH,113,358
A29PEU8AQGFQ9X,7,21
A2ZV8A23EDTBMS,155,469
AL5YVW1EH73JY,4,12
A1DWI1KSNGMSZU,15,45
A1I6OSVC95484X,30,90
A3MQ92M9OJJBU1,1,3
A2JO5OECULWLG7,3,9
A17HW66D6M1QUR,128,461
AAIYYPTAU8QL2,1755,7043
AHFP3GSDF85LJ,11,34
A3JLIBU1QZ2F0R,2,6
A3SS8CWXU8WCPJ,1755,7042
A38S8YAXB09WHI,1,3
A3GGK2C725WKHQ,159,478
A12X5IZCXN492U,8,24
A2N4QZ92NBKJZZ,6,19
A2Y80LQ0Q8YI7G,5,15
AQDUE9PHA7QRP,1910,7847
AJZIS9MKUF7IB,5,15
A36QK1FKH6LRRY,13,40
A7QKCYHVIUK3P,10,30
A2M7X5TP61TYVQ,1757,7164
A3FCMEAJVV4PWM,1,3
A1J2URY7Y0HVHO,4,12
AV3IA5YTT4ME2,1755,7043
A12P4A1OC41KUO,34,112
A3BI0KHX2Z4YA9,1,3
AOEGA1YLVSKU8,17,52
A79ZGGR1HALFK,45,142
A4NVC3UKFO6CA,3,9
A32SQSDF2703U,47,141
A2ZJRQD22JCVKX,19,58
A1T2Z8792T0WT8,3,9
A3CUYX2VXZM9KO,13,41
A3PPY2PBHPJ59Z,55,173
A17OBUF7R058OR,6,18
A35D9ODUCAMF5G,5,15
A35FK8FLWJ85VY,4,12
A2DF0LSM17W4KB,802,2416
A13J3KODIMEIAX,798,2398
A1YIP8N36PSYQS,797,2397
A1P1E3DFR2RPAZ,34,108
AVPMKKIH917M8,24,84
A29D6OTBZB98GN,3,9
AB2ZIB3A2UE8W,1755,7136
A2HQ6U8I2MN9J2,827,2524
A4OJFOSNHMHVJ,1,3
AJ5O4S0A1NLNC,2,6
A3HLUURIK5G0X,3,9
A2EQRC2SN0WRNH,3,9
A2CQPQKS3J6JJR,22,67
AB22KJUYWVWG6,1,3
A2JIQP22UN6DZ,1,3
A10D4WQG4CLPPQ,2,7
A1ZGCP8JQCTL6B,2,6
AWG840X91EMWT,27,86
A1RF9YK4BK5TRH,926,2802
A2UU1H5TC13KV2,1756,7092
A1K1ZKOHP4RQTW,1760,7195
A3PII5YGK0TLH3,50,158
A21YQ2BBPEHXLQ,1,3
AUUT3ZXYL3TB5,3,9
AS3Z0HJJGL2MZ,103,315
A30F6HYUUXMM4X,1,3
A3QEZM4IVO5XOP,1,3
A3HCEN4Q1H5C93,8,24
AP6LW4B4MLQRJ,1,3
A1GM01HSKCW77K,35,111
A35CRCL7WVUCYG,24,75
A3KYA26RJGRAWE,16,48
A2ELXV8CZPFVO8,17,54
A2FQYC97M9DR5A,1,3
A1SOGNDNKMFK75,2,7
A3KI3PJZXM518,1,3
A174CRRC57OXV7,11,33
A35WOFCRCI2R3S,9,27
A3HHW8Z3PP2EH1,1755,7022
A3OQNAJ33UDWH1,1,3
A2IFHEYZQ4K8WW,2,6
A2EV5NOH281PA6,1,3
A3KQI3T0AEXWLE,3,9
A5QINVH2JCLL6,836,2571
A23JENFJVEQYT8,1,3
AUZKJYREB6QL7,1,3
A26HZ18GUETLO7,1755,7022
A35JPJHGOSPZX9,966,3131
AW85V6D8QS2E5,813,2490
A3QE3BIOZBMHW6,4,12
AQNFMSREE8A7W,11,44
A1BHXHUNOFM6DB,3,9
A2FWMR8EQENJC2,4,12
A3NUUCMVF7F39G,1755,7052
A16XJBGBOIY2Y,797,2403
A2EDYSY4M8TESS,1793,7335
A2HVHDGF3HYM9G,6,18
A1L3FOOHGA7LVZ,18,54
ATKUKRT20ZUH6,1,3
AIZC2Y0T8XS,4,12
AKS6Z717NNJ5H,1,3
A26C04NVYMIDR4,46,138
A10BYTL5JBGPWR,10,30
A2T5S6QLLEEYUA,5,16
A3PI8VVFKUQ8FD,825,2530
ATPP3IWN4S9PW,48,154
A1G3BGSQDOXXDR,37,115
A3O60C5513YYD6,1,3
AFBETARDFURG,13,39
A3IMRTC7Z8GM6A,7,22
A2IFIZOUX8BUUV,1755,7050
AIXSSJUD2JIUG,6,18
A2NYDTA1U3KRT8,3,9
A70HJ7WS4VVW5,19,57
A3EX2WCMN4AYIK,2,6
AN6JUJC17FM8D,1,3
A2WBNJP5EFJYMI,9,29
A1ELFIDTLOMGQ,3,9
A3EATLL9FW7DJL,47,151
A1VLC9GZI9VSGR,1755,7126
A1QZMO1ZUVNV1F,792,2387
A3FX4XZ6HTXJ1S,1755,7038
A25L6QS3OWQ0UW,2,6
A2POI4J5JFJLYX,1,3
A8BINMWK706J,4,12
A3OA4DV4L81N1D,10,32
AITXZ1QOILJ5Z,1755,7119
A12XQSO6UU83AC,151,454
A4617YW3IXXBN,1,3
A1Z5CKEESVRY6L,4,12
A63H75I8LR90M,9,27
A3KNISEG9AZO68,1,3
A1LCLRNUOSAN44,1,4
AZH9KNOVL6GXE,48,144
A291IMCDU5HT4N,13,41
A2U1BK0MCC5SM6,1,3
APYXSS0JFRG2E,11,35
A1HG6V3TRMBBX8,3,9
A1W695ABJ8JBSV,819,2493
A1U487ITURTC57,1833,7724
A2H4EA6W8M6IP7,1,3
A19NGYCQ1NCF3W,1757,7104
A1S7H78NM6OVU1,1834,7676
A2GT8WJGBIEVWK,1,3
ACATCJ1BYS9LM,1,3
A3FYK6A4BMIGLO,1,3
A3I8ZL64HWEVRT,6,18
AWWN9XK9AHTG5,2,6
A334JQA7IINXBN,272,919
AJH02SDMQO6V5,1,3
A19OOM02IMIWQ3,18,54
A2V6KTKHFCKXFA,1,3
A1WJBJUQ24G8BU,175,540
A2Q2JGPPIYUSVM,1,3
AJKTYH38AO1LO,72,222
AA5Y9QEATL533,15,47
A2YYGSXDHMQKSI,1755,7055
A14Z7EKQA9BXFX,7,21
A2AE82RBJ803PE,9,27
A384SXJO36Z2RP,1,3
A3SJG2DK282DUM,6,18
AEKCQC7GTXBO2,3,9
A14LV53OELK4MN,1,4
A2D10EN7QQ56GG,57,171
A2ASZIWPKU359G,7,21
A26TTHD7OS25VF,5,16
A1DK0W4H57ALW8,23,76
A3K1Y9LD4YSID8,33,100
A3RA6DMXR6VKLV,8,24
A1C60KQ8VJZBS5,1755,7029
A1BK0KBZBCB5V8,4,13
A12F68BVEI6C3C,1756,7125
A3FZ78YFE7FNPH,3,9
A1ZELIPJWCB9G,1,3
A2PLFJOLJNGNMX,1,3
A2YSY26ZVMNNV2,1,3
A26HM2R5529NYY,6,18
A149OZDGI4VK7P,6,20
AWTPMIR18BYPA,3,9
A1KZ00LNIB25RR,3,9
A34JN3BFP1BGKE,3,9
AGJYUK79TTVFD,28,85
A2ZS3YW8S1FLXY,11,34
AIZXXIOGDHOWD,69,209
A1GEDBPYSGVAF4,1772,7292
A356YVTEMDX69J,2,6
A3QTBIAYLMZ6QG,1755,7078
A3N0QCYZ1FFC1D,1,3
A28ABYWYN00HXP,3,9
A2AP0MIU1X3W0W,29,87
AUMGFQQ4E54U9,1755,7089
A3DPGV307X2498,4,12
A2P8TVHGFMLCK8,1,3
A1TWVLQPW2W53Z,1,3
AIKDYQA4NKI7A,1755,7087
A2SNDB4XRUYF3T,2,6
A1H6BQ9EUWXH49,7,22
A38HWS1AL4GY3U,44,134
A10KUT33F62T7,6,20
AE43UAWFK3J85,264,819
A17RNV8G9Y9Z3W,1755,7021
A2IHH0722W2KJ0,9,27
AGUO8C8CIUBPL,39,122
A2QLAZJQ85TCPT,10,31
A12DQZKRKTNF5E,20,62
AAGOBPA1MR5Y6,15,46
A3RDWYM8ROG4UE,1758,7176
A29XQ1C21HO7Y6,1,3
A25BRZGKI7KSVU,9,27
AN767THUL1NB8,1,3
A3IWBU5HM87AH6,11,35
AK53SQFCZQFI2,9,27
AVYUXG26H2BKK,1755,7021
A87W2NKSYDMD6,114,342
A5TEMTXO2V7TK,1,3
A1WM1W1WRWOM2S,1,3
A380AI4SNSJTTY,1775,7398
A2V6B58SR2I9NM,1,3
A1D3SFJ2THXYO9,12,37
A3I4VKN6LN3ESB,1755,7031
A1SY0RMLP947Q0,1,3
ACM3CGC6GNAS4,1,3
A3EV0FI4P1YMEV,1,3
A2CHE7KHE9K1YC,791,2373
A1OOUQOJ2V2UQR,4,12
A3D4F6SFE2X00D,1,3
ABT7IU09MVW9G,1757,7380
A15L9706W396Z8,798,2399
A3FZFNCN3R8352,9,27
A1BN893XV4AIRG,10,31
A1XXS0OSY2JLHW,5,15
A29U2YU2BVD72N,1758,7238
A1TYYT15KT9TDQ,2,6
A3V1A3C9DTLPME,53,161
AEVXNFQDM6OMD,7,21
A1WNM3PI4QSUCB,2,6
AODJFIPWHJ3FU,870,2711
A2SF1UKJTY5I8S,4,12
A90DZ9RZ4NQP0,834,2563
AHN90UOE8LQY6,4,12
A3AZWNBL5B754C,2,6
A17BUUBOU0598B,11,37
ACTSN400XQJ90,1,3
A16NLVVDH53YXL,1,3
A56WHDQUH69YC,794,2391
A2WS6Z0DD2HZKW,1,3
A3DPWY9G4ZA3V1,5,15
A2P739KOM4U5JB,2515,9437
A3DOIOHQ19H1BP,3,10
A3IPLRAS31YITT,1,3
A3CRTX0VORQFR,7,22
A38ZDGZNZLMJOR,1755,7032
A2PX3NR1IVTXPG,15,45
A27I8ETYT41602,7,21
A7U1FRDLNMQM4,899,2833
A3C32708HMUVMZ,1,3
A3K3QIOFTJUTBN,4,12
A3Q4P6UYF2Q1WF,3,9
AQGNMMFLND324,1756,7056
A1WTBW766GMLH2,70,211
A1E3FGPH40IV1Q,21,63
A3TWTXNL8WMYJ7,1755,7098
A2EWLWNMF65J5X,93,282
A7YB1VGGISA66,2,6
A3NWBKOLDEUXUO,798,2404
A1QKE6I57MHI4R,1,3
A3SC6GHYLHOQKR,10,31
A1ZEX4DU5PF7P2,856,2665
AOUKRECWP828A,1,3
A293CWG23K191L,8,24
A3IMQ8EK5QO091,11,37
A1JTDD2GQ66AOO,6,18
A19NMF8XUW55GJ,2,6
A9DSB0H0XG19H,50,153
A2DNCH3RSIRZSA,1842,7705
A38SBW89EUB4WK,3,9
A263Q7WW00FR2B,10,32
A1HJAAJKJT0305,1,3
A336S5T2G9O6UF,792,2376
A2GIZ854MUWD96,285,954
AWGFHVZPL7FNG,224,683
A3VRBY4JM6MOXL,177,534
A1GM034H7XPDEW,4,12
A95E5NT2NM7JH,1,3
A1241DH3085AYJ,2,7
A1TY5M06S8TX0I,6,18
A1CQ1KR2T5MSMJ,1,3
A27EAGHIMHJHBP,5,15
A2M8T1A4O0GS72,423,1333
A2759T02JF8BNL,1,3
A8NU826NB1J22,2,6
AO1LUJ8VJ03OZ,3,11
A1Y8DS3723RXQ6,4,12
A2SM259L1P1465,16,48
A36FRV1EB3F0X7,1,3
A22LLQ00V32YZJ,28,87
ADBAB80B72WTB,1755,7058
A2DMN4O3N9Z3H7,2140,8939
A1ZMV5QSAR8V2L,1763,7126
A1I0YSG9M7BCCG,1,3
ATRXW8XYFB66G,2,8
A2YCAWHBQGCBVE,20,62
A22QN0P5ERNOKR,30,90
A2TD483QE2FQI4,8,25
A15S1FK8RX7N59,3,9
A28T9699RW3UL7,1,3
AVYRVRSMZ81QA,816,2483
AI32MH16FU7GG,1,3
AEURCUN07K6C,2,6
AO0ZQLMZSK2QK,1,3
A2ZYU6A4O80605,828,2531
A18EF30AMWY8EH,71,215
A1VGRBRKJ9OU67,6,18
AER6BVMCLBOX0,1755,7027
ACP5TPWWJXT01,1,3
A2SF9A8NM5VT2R,4,12
A2CCGGDGZ694CT,8,25
AITVSNHNBLJUV,795,2387
A2MAL0M9EG4FJH,38,122
A3UA9FUP2KOE42,1,3
A3M52F13167U3N,1755,7028
A1149P8XTM24UM,1755,7037
A3RZINELIF03YT,6,18
A112F2QZ7F7YQC,1755,7020
A2MB11PJHNLPCB,49,150
A22PQFJEKNGASY,31,93
A3NKSY3I0UW3KK,21,63
A3EQNAVEUFQIZT,16,50
AVVQVA12JSJTZ,2,6
A3REDRR105VG99,2,6
AVMWBGQ8SVNT0,3,9
A3GSEDY0NJA64Z,1,3
A2QR5C8DXZQK38,1,3
ATR49FDUXU1ZV,2,6
A447OYRYJGAR,1842,7737
A1TK1G6QGO88QF,1,3
A3M31XH7CUEDX9,796,2400
ALEFGB3G2BYG8,9,28
AFBWFZQHDEXGB,265,818
A10VG94SAKVSC0,4,13
A33AAY3HXZRU0Q,2,6
A1BTJTLOQDOPVH,1,3
A2KN9JN0IHLSWG,2,6
A1TAGVCAP85JED,1,3
A3P233NR0IF91I,1800,7554
A8HS6N6BLZVSJ,1,3
A24VZJ0H41RO91,38,117
A2S3W9OKCDPW85,1,3
AEBLXIT76KOO3,14,42
A271E3GJEWHHKV,1755,7020
A10VU10P052SFV,5,16
A2VC3I7T2WV1TP,16,48
A2ZIWEAS3QP1KZ,20,60
A18PKX4CTR709W,2,6
A3BDD4NKPRFP04,13,47
ADZ0YRZDSXXP4,4,12
A33472JKZ5HNF8,2,8
A1U3LV1UHWGT9J,1,3
ATCY1WORI22FZ,4,13
A1IBFWZLSL36Q7,1,3
A1MJIJ1M89I7PL,2,7
A1RIVJ07HKE1F9,55,170
A3TDVSVKNGPZNN,18,60
A3QK723XT3MJXZ,4,12
A1EVV74UQYVKRY,14,44
A1R0AVQPWM342K,10,31
A2OSD0WHJY7A5G,4,13
A1UFODRAPQJ98M,1,3
A19XPHUVNG3LFZ,1755,7053
